álbum;musica;letra
Legião Urbana;Será;Tire suas mãos de mim
Legião Urbana;Será;Eu não pertenço a você
Legião Urbana;Será;Não é me dominando assim
Legião Urbana;Será;Que você vai me entender
Legião Urbana;Será;Eu posso estar sozinho
Legião Urbana;Será;Mas eu sei muito bem aonde estou
Legião Urbana;Será;Você pode até duvidar
Legião Urbana;Será;Acho que isso não é amor
Legião Urbana;Será;Será só imaginação?
Legião Urbana;Será;Será que nada vai acontecer?
Legião Urbana;Será;Será que é tudo isso em vão?
Legião Urbana;Será;Será que vamos conseguir vencer?
Legião Urbana;Será;Oh, oh, oh, oh, oh, oh
Legião Urbana;Será;Nos perderemos entre monstros
Legião Urbana;Será;Da nossa própria criação
Legião Urbana;Será;Serão noites inteiras
Legião Urbana;Será;Talvez por medo da escuridão
Legião Urbana;Será;Ficaremos acordados
Legião Urbana;Será;Imaginando alguma solução
Legião Urbana;Será;Pra que esse nosso egoísmo
Legião Urbana;Será;Não destrua o nosso coração
Legião Urbana;Será;Será só imaginação?
Legião Urbana;Será;Será que nada vai acontecer?
Legião Urbana;Será;Será que é tudo isso em vão?
Legião Urbana;Será;Será que vamos conseguir vencer?
Legião Urbana;Será;Oh, oh, oh, oh, oh, oh
Legião Urbana;Será;Brigar pra quê, se é sem querer?
Legião Urbana;Será;Quem é que vai nos proteger?
Legião Urbana;Será;Será que vamos ter de responder
Legião Urbana;Será;Pelos erros a mais, eu e você?
Legião Urbana;A Dança;Não sei o que é direito
Legião Urbana;A Dança;Só vejo preconceito
Legião Urbana;A Dança;E a sua roupa nova
Legião Urbana;A Dança;É só uma roupa nova
Legião Urbana;A Dança;Você não tem ideias
Legião Urbana;A Dança;Pra acompanhar a moda
Legião Urbana;A Dança;Tratando as meninas
Legião Urbana;A Dança;Como se fossem lixo
Legião Urbana;A Dança;Ou então espécie rara
Legião Urbana;A Dança;Só a você pertence
Legião Urbana;A Dança;Ou então espécie rara
Legião Urbana;A Dança;Que você não respeita
Legião Urbana;A Dança;Ou então espécie rara
Legião Urbana;A Dança;Que é só um objeto
Legião Urbana;A Dança;Pra usar e jogar fora
Legião Urbana;A Dança;Depois de ter prazer
Legião Urbana;A Dança;Você é tão moderno
Legião Urbana;A Dança;Se acha tão moderno
Legião Urbana;A Dança;Mas é igual a seus pais
Legião Urbana;A Dança;É só questão de idade
Legião Urbana;A Dança;Passando dessa fase
Legião Urbana;A Dança;Tanto fez e tanto faz
Legião Urbana;A Dança;Você com as suas drogas
Legião Urbana;A Dança;E as suas teorias
Legião Urbana;A Dança;E a sua rebeldia
Legião Urbana;A Dança;E a sua solidão
Legião Urbana;A Dança;Vive com seus excessos
Legião Urbana;A Dança;Mas não tem mais dinheiro
Legião Urbana;A Dança;Pra comprar outra fuga
Legião Urbana;A Dança;Sair de casa então
Legião Urbana;A Dança;Então é outra festa
Legião Urbana;A Dança;É outra sexta-feira
Legião Urbana;A Dança;Que se dane o futuro
Legião Urbana;A Dança;Você tem a vida inteira
Legião Urbana;A Dança;Você é tão esperto
Legião Urbana;A Dança;Você está tão certo
Legião Urbana;A Dança;Mas você nunca dançou
Legião Urbana;A Dança;Com ódio de verdade
Legião Urbana;A Dança;Você é tão esperto
Legião Urbana;A Dança;Você está tão certo
Legião Urbana;A Dança;Que você nunca vai errar
Legião Urbana;A Dança;Mas a vida deixa marcas
Legião Urbana;A Dança;Tenha cuidado
Legião Urbana;A Dança;Se um dia você dançar
